

;Od nr23;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Kwestionariusz Osobowy;;;;Skala Wiary w Grę o Sumie Zerowej;;;;;Mini-COPE;;;;SKALE MINI-COPE;;;;;
;Pytanie;Odpowiedź;;;Pytanie;Odpowiedź;;;;Pytanie;Odpowiedź;;;Aktywne Radzenie Sobie;;;;;
;1;Męzczyzna;;;35;4;;;;7;2;;;3,16666666666667;;;;;
;2;20;;;36;2;;;;8;3;;;Bezradność;;;;;
;3;Pierwszy ;;;37;6;;;;9;1;;;1,5;;;;;
;4;Inne ;;;38;1;;;;10;1;;;Poszukiwanie Wsparcia;;;;;
;5;Zadowalająca;;;39;1;;;;11;3;;;2,75;;;;;
;6;Zadowalająca;;;40;4;;;;12;1;;;Zachowawnie Unikowe;;;;;
;;;;;41;1;;;;13;4;;;1,5;;;;;
;;;;;42;3;;;;14;1;;;Zwrot ku religii;;;;;
;;;;;43;5;;;;15;2;;;2;;;;;
;;;;;44;3;;;;16;3;;;Akceptacja;;;;;
;;;;;45;3;;;;17;1;;;3,5;;;;;
;;;;;46;6;;;;18;2;;;Poczucie humoru;;;;;
;;;;;Suma;39;;;;19;3;;;2;;;;;
;;;;;Średnia;3,25;;;;20;4;;;;;;;;
;;;;;;;;;;21;3;;;;;;;;
;;;;;;;;;;22;1;;;;;;;;
;;;;;;;;;;23;2;;;;;;;;
;;;;;;;;;;24;3;;;;;;;;
;;;;;;;;;;25;1;;;;;;;;
;;;;;;;;;;26;4;;;;;;;;
;;;;;;;;;;27;2;;;;;;;;
;;;;;;;;;;28;2;;;;;;;;
;;;;;;;;;;29;2;;;;;;;;
;;;;;;;;;;30;3;;;;;;;;
;;;;;;;;;;31;4;;;;;;;;
;;;;;;;;;;32;2;;;;;;;;
;;;;;;;;;;33;2;;;;;;;;
;;;;;;;;;;34;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;7;;;;;;;;;;;;;



;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Kwestionariusz Osobowy;;;;Skala Wiary w Grę o Sumie Zerowej;;;;;Mini-COPE;;;;SKALE MINI-COPE;;;;;
;Pytanie;Odpowiedź;;;Pytanie;Odpowiedź;;;;Pytanie;Odpowiedź;;;Aktywne Radzenie Sobie;;;;;
;1;Kobieta;;;35;1;;;1;7;2;;;3,33333333333333;;;;;
;2;20;;;36;1;;;;8;3;;;Bezradność;;;;;
;3;Drugi ;;;37;1;;;1;9;1;;;1,83333333333333;;;;;
;4;Inne;;;38;3;;;;10;1;;;Poszukiwanie Wsparcia;;;;;
;5;Zadowalająca;;;39;1;;;;11;4;;;3,5;;;;;
;6;przeciętna;;;40;3;;;;12;2;;;Zachowawnie Unikowe;;;;;
;;;;;41;2;;;;13;3;;;1,83333333333333;;;;;
;;;;;42;4;;;1;14;2;;;Zwrot ku religii;;;;;
;;;;;43;2;;;;15;2;;;4;;;;;
;;;;;44;1;;;;16;3;;;Akceptacja;;;;;
;;;;;45;3;;;;17;1;;;4;;;;;
;;;;;46;3;;;1;18;4;;;Poczucie humoru;;;;;
;;;;;Suma;25;;;;19;3;;;2,5;;;;;
;;;;;Średnia;2,08333333333333;;;;20;3;;;;;;;;
;;;;;;;;;;21;4;;;;;;;;
;;;;;;;;;;22;2;;;;;;;;
;;;;;;;;;;23;4;;;;;;;;
;;;;;;;;;;24;3;;;;;;;;
;;;;;;;;;;25;2;;;;;;;;
;;;;;;;;;;26;4;;;;;;;;
;;;;;;;;;;27;2;;;;;;;;
;;;;;;;;;;28;4;;;;;;;;
;;;;;;;;;;29;3;;;;;;;;
;;;;;;;;;;30;4;;;;;;;;
;;;;;;;;;;31;3;;;;;;;;
;;;;;;;;;;32;2;;;;;;;;
;;;;;;;;;;33;4;;;;;;;;
;;;;;;;;;;34;2;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
